,number,name,bid,city_or_mun,language,mun_center,province,subregion
216,678,Raahe,1791817-6,kaupunki,suomi,Raahen keskustaajama,Pohjois-Pohjanmaa,Raahen seutukunta
217,710,Raasepori,0131297-0,kaupunki,"ruotsi, suomi",Tammisaaren keskustaajama,Uusimaa,Raaseporin seutukunta
218,680,Raisio,0204428-5,kaupunki,suomi,Raision keskustaajama,Varsinais-Suomi,Turun seutukunta
219,681,Rantasalmi,0166507-1,kunta,suomi,Rantasalmen kirkonkylä,Etelä-Savo,Savonlinnan seutukunta
220,683,Ranua,0191974-8,kunta,suomi,Ranuan kirkonkylä,Lappi,Rovaniemen seutukunta
221,684,Rauma,0138780-9,kaupunki,suomi,Rauman keskustaajama,Satakunta,Rauman seutukunta
222,686,Rautalampi,0172586-3,kunta,suomi,Rautalammin kirkonkylä,Pohjois-Savo,Sisä-Savon seutukunta
223,687,Rautavaara,0172646-0,kunta,suomi,Rautavaaran kirkonkylä,Pohjois-Savo,Koillis-Savon seutukunta
224,689,Rautjärvi,0206951-1,kunta,suomi,Simpele,Etelä-Karjala,Imatran seutukunta
225,691,Reisjärvi,0189548-3,kunta,suomi,Reisjärven kirkonkylä,Pohjois-Pohjanmaa,Nivala–Haapajärven seutukunta
226,694,Riihimäki,0152563-4,kaupunki,suomi,Riihimäen keskustaajama,Kanta-Häme,Riihimäen seutukunta
227,697,Ristijärvi,0189576-6,kunta,suomi,Ristijärven kirkonkylä,Kainuu,Kajaanin seutukunta
228,698,Rovaniemi,1978283-1,kaupunki,suomi,Rovaniemen keskustaajama,Lappi,Rovaniemen seutukunta
229,700,Ruokolahti,0163013-5,kunta,suomi,Rasila,Etelä-Karjala,Imatran seutukunta
