,label,code,entity
152,5701 Opetus- ja kulttuuritoimen muut valtionosuudet,4510530,KKNR
153,5801 Harkinnanvarainen valtionosuuden korotus,4512800,KKNR
154,5850 Muut erittelemättömät valtionosuudet,4515070,KKNR
155,5890 Verotulojen menetysten kompensaatio,4830600,KKNR
156,6000-6999 Rahoitustuotot ja -kulut + (-),4394760,KKNR
157,6000-6099 Korkotuotot,4392490,KKNR
158,6040 Korkotuotot antolainoista,4517340,KKNR
159,6050 Muut korkotuotot,4519610,KKNR
160,6055 Korkojohdannaisiin liittyvät korkotuotot ja -kulut (tuottoja suojaava),4771580,KKNR
161,6100-6199 Muut rahoitustuotot,4390220,KKNR
162,6100 Osinkotuotot ja osuuspääomien korot,4521880,KKNR
163,6115 Korvaus peruspääomasta,4524150,KKNR
164,6116 Korvaus jäännöspääomasta,4526420,KKNR
165,6120 Verotilitysten korot ja korotukset,4528690,KKNR
166,6130 Viivästyskorot,4530960,KKNR
167,6140 Peruspääoman korot kuntayhtymiltä,4533230,KKNR
168,6150 Kurssivoitot rahoituslainoista,4535500,KKNR
169,6160 Arvopapereiden luovutusvoitot,4537770,KKNR
170,6169 Korkojohdannaisiin liittyvät tuotot (ei-suojaava),4540040,KKNR
171,6170 Muut erittelemättömät rahoitustuotot,4542310,KKNR
172,6176 Takausprovisiot,4544580,KKNR
173,6180 Rahoitusarvopaperien arvonalentumisten oikaisut (Arvonalentumisten palautumiset),4546850,KKNR
174,6200-6299 Korkokulut,4385680,KKNR
175,6255 Korkokulut lainoista ulkopuolisilta,4762500,KKNR
176,6270 Korkojohdannaisiin liittyvät korkokulut ja -tuotot (kuluja suojaava),4773850,KKNR
177,6300-6399 Muut rahoituskulut,4387950,KKNR
178,6330 Kurssitappiot rahoituslainoista,4549120,KKNR
179,6335 Arvopapereiden luovutustappiot,4551390,KKNR
180,6360 Arvonalentumiset vaihtuvien vastaavien rahoitusarvopapereista,4553660,KKNR
181,6370 Arvonalentumiset pysyvien vastaavien sijoituksista (pl. toimialasijoittamisen osakkeet ja -osuudet),4555930,KKNR
182,6379 Korkojohdannaisiin liittyvät kulut (ei-suojaava),4558200,KKNR
183,6380 Muut erittelemättömät rahoituskulut,4560470,KKNR
184,7000-7299 Poistot ja arvonalentumiset,4816980,KKNR
