,code,name,city_or_mun,language,mun_center,province,subregion,population,area_total_km2,area_land_km2,population_density_km-2
25,077,Hankasalmi,kunta,suomi,Hankasalmen kirkonkylä,Keski-Suomi,Jyväskylän seutukunta,4650,68774.0,57169.0,81.0
26,078,Hanko,kaupunki,"suomi, ruotsi",Hangon keskustaajama,Uusimaa,Raaseporin seutukunta,7934,11899.0,11746.0,675.0
27,079,Harjavalta,kaupunki,suomi,Harjavallan keskustaajama,Satakunta,Porin seutukunta,6762,12774.0,12348.0,548.0
28,081,Hartola,kunta,suomi,Hartolan kirkonkylä,Päijät-Häme,Lahden seutukunta,2604,67548.0,54281.0,48.0
29,082,Hattula,kunta,suomi,Parola,Kanta-Häme,Hämeenlinnan seutukunta,9402,42739.0,35779.0,263.0
30,086,Hausjärvi,kunta,suomi,Oitti,Kanta-Häme,Riihimäen seutukunta,8110,39877.0,38942.0,208.0
31,111,Heinola,kaupunki,suomi,Heinolan keskustaajama,Päijät-Häme,Lahden seutukunta,18245,83928.0,67600.0,27.0
32,090,Heinävesi,kunta,suomi,Heinäveden kirkonkylä,Pohjois-Karjala,Joensuun seutukunta,3123,1319.57,1029.95,3.0
33,091,Helsinki,kaupunki,"suomi, ruotsi",Helsingin keskustaajama,Uusimaa,Helsingin seutukunta,660821,21508.0,21419.0,3085.2
34,097,Hirvensalmi,kunta,suomi,Hirvensalmen kirkonkylä,Etelä-Savo,Mikkelin seutukunta,2109,74659.0,46509.0,45.0
35,098,Hollola,kunta,suomi,Salpakangas,Päijät-Häme,Lahden seutukunta,23104,72746.0,65123.0,355.0
36,102,Huittinen,kaupunki,suomi,Lauttakylä,Satakunta,Porin seutukunta,9811,53955.0,53261.0,184.0
37,103,Humppila,kunta,suomi,Humppilan asemanseutu,Kanta-Häme,Forssan seutukunta,2176,14861.0,14796.0,147.0
38,105,Hyrynsalmi,kunta,suomi,Hyrynsalmen kirkonkylä,Kainuu,Kehys-Kainuun seutukunta,2106,1521.37,1421.25,15.0
39,106,Hyvinkää,kaupunki,suomi,Hyvinkään keskustaajama,Uusimaa,Helsingin seutukunta,46858,33677.0,32269.0,1452.0
40,108,Hämeenkyrö,kunta,suomi,Pappila,Pirkanmaa,Tampereen seutukunta,10291,50510.0,46399.0,222.0
41,109,Hämeenlinna,kaupunki,suomi,Hämeenlinnan keskustaajama,Kanta-Häme,Hämeenlinnan seutukunta,67919,2031.57,1785.34,38.0
42,139,Ii,kunta,suomi,Iin Hamina,Pohjois-Pohjanmaa,Oulunkaaren seutukunta,9916,1668.05,1615.72,61.0
43,140,Iisalmi,kaupunki,suomi,Iisalmen keskustaajama,Pohjois-Savo,Ylä-Savon seutukunta,20946,87217.0,76299.0,275.0
